focus_area,cluster,umap_x,umap_y,specialty
juvenile myelomonocytic leukemia,8,6.0816774,0.89435875,General Medicine & Common Conditions
childhood vascular tumors,10,6.4470325,7.055755,Pediatrics & Developmental Disorders
childhood brain stem glioma,8,6.184663,0.64582336,General Medicine & Common Conditions
transitional cell cancer of the renal pelvis and ureter,8,5.7144446,0.88465506,General Medicine & Common Conditions
gestational trophoblastic disease,17,1.8348732,5.844879,Neurology & Genetic Disorders
"ovarian epithelial, fallopian tube, and primary peritoneal cancer",15,4.9691467,7.1980104,Metabolic & Kidney Disorders
oral cavity and oropharyngeal cancer,10,4.853975,7.7635803,Pediatrics & Developmental Disorders
endometrial cancer,11,2.2092285,5.5506124,Neurology & Movement Disorders
aids-related lymphoma,12,2.5817404,2.9348083,Immunology & Hematology
pancreatic cancer,0,1.971212,3.3271103,Genetic & Rare Diseases
bile duct cancer (cholangiocarcinoma),17,1.3777078,4.369571,Neurology & Genetic Disorders
pancreatic neuroendocrine tumors (islet cell tumors),17,1.2085862,4.243664,Neurology & Genetic Disorders
laryngeal cancer,3,6.294369,4.6538024,General Medicine & Mixed Conditions
plasma cell neoplasms (including multiple myeloma),8,5.85519,0.18249772,General Medicine & Common Conditions
salivary gland cancer,8,5.1429,6.191613,General Medicine & Common Conditions
childhood non-hodgkin lymphoma,15,3.3053281,4.0919504,Metabolic & Kidney Disorders
gastrointestinal carcinoid tumors,1,7.440159,3.688593,Genetic & Rare Diseases
adult soft tissue sarcoma,10,1.9246505,5.885106,Pediatrics & Developmental Disorders
primary cns lymphoma,8,6.0656247,0.66633534,General Medicine & Common Conditions
neuroblastoma,17,1.1898934,4.4364357,Neurology & Genetic Disorders
osteosarcoma and malignant fibrous histiocytoma of bone,10,4.686893,7.5445323,Pediatrics & Developmental Disorders
adult non-hodgkin lymphoma,17,-0.36669633,6.449197,Neurology & Genetic Disorders
kaposi sarcoma,17,2.2003376,1.8019955,Neurology & Genetic Disorders
chronic lymphocytic leukemia,17,0.1849459,1.5132768,Neurology & Genetic Disorders
adult central nervous system tumors,12,2.1454737,1.946131,Immunology & Hematology
essential thrombocythemia,8,6.5105023,0.6352018,General Medicine & Common Conditions
childhood rhabdomyosarcoma,8,5.8473697,1.4533962,General Medicine & Common Conditions
pituitary tumors,8,6.4204507,0.29346618,General Medicine & Common Conditions
chronic myelomonocytic leukemia,4,6.7256875,3.3356233,Genetic & Rare Diseases
nasopharyngeal cancer,9,5.8161926,7.7860513,Genetic & Rare Diseases
gastrointestinal stromal tumors,9,6.440226,8.255428,Genetic & Rare Diseases
adult primary liver cancer,3,5.791466,3.9298146,General Medicine & Mixed Conditions
childhood central nervous system embryonal tumors,8,6.7827697,0.87596124,General Medicine & Common Conditions
adult hodgkin lymphoma,9,6.4099536,8.10944,Genetic & Rare Diseases
adult acute lymphoblastic leukemia,0,1.4694875,4.4231076,Genetic & Rare Diseases
chronic myeloproliferative neoplasms,17,0.6401096,1.4785429,Neurology & Genetic Disorders
parathyroid cancer,9,6.507989,8.115235,Genetic & Rare Diseases
lip and oral cavity cancer,11,3.9159274,2.495065,Neurology & Movement Disorders
childhood craniopharyngioma,0,1.1772394,3.3325052,Genetic & Rare Diseases
childhood ependymoma,8,5.9563613,1.5229692,General Medicine & Common Conditions
childhood central nervous system germ cell tumors,9,-0.17514116,6.635208,Genetic & Rare Diseases
ovarian germ cell tumors,10,2.7243826,6.7444854,Pediatrics & Developmental Disorders
childhood hodgkin lymphoma,0,1.4723411,4.360563,Genetic & Rare Diseases
penile cancer,2,2.6422877,7.7281265,Neurology & Neuromuscular Disorders
oropharyngeal cancer,9,5.9287252,8.244235,Genetic & Rare Diseases
male breast cancer,10,1.7484599,5.5955462,Pediatrics & Developmental Disorders
primary myelofibrosis,15,4.4745655,4.026143,Metabolic & Kidney Disorders
urethral cancer,8,6.832711,0.7820668,General Medicine & Common Conditions
melanoma,8,5.4553285,0.8483193,General Medicine & Common Conditions
childhood central nervous system atypical teratoid/rhabdoid tumor,5,4.530448,3.3684752,Nephrology & Rheumatology
retinoblastoma,5,5.7448673,1.0371333,Nephrology & Rheumatology
childhood acute lymphoblastic leukemia,0,1.281249,3.715029,Genetic & Rare Diseases
childhood liver cancer,16,6.8609056,6.5021467,Gastroenterology & Infectious Diseases
mycosis fungoides and the szary syndrome,8,4.7811832,0.16309951,General Medicine & Common Conditions
ewing sarcoma,17,0.2341258,1.4933223,Neurology & Genetic Disorders
childhood brain and spinal cord tumors,8,6.373343,-0.081347376,General Medicine & Common Conditions
langerhans cell histiocytosis,10,4.9147735,7.345426,Pediatrics & Developmental Disorders
paranasal sinus and nasal cavity cancer,0,1.3000987,3.6786807,Genetic & Rare Diseases
campylobacter infections,12,5.8034754,1.6138037,Immunology & Hematology
pregnancy and substance abuse,9,6.4187903,8.233346,Genetic & Rare Diseases
radiation therapy,8,6.999501,0.1718522,General Medicine & Common Conditions
rehabilitation,0,1.3762316,3.1515298,Genetic & Rare Diseases
iron,0,1.2796401,3.5739915,Genetic & Rare Diseases
pregnancy and nutrition,8,6.106801,1.1786896,General Medicine & Common Conditions
interstitial lung diseases,17,0.42755517,6.320618,Neurology & Genetic Disorders
volcanoes,10,1.9651419,6.0462537,Pediatrics & Developmental Disorders
hiccups,8,6.118821,0.6441791,General Medicine & Common Conditions
premenstrual syndrome,9,6.3683076,8.241567,Genetic & Rare Diseases
dizziness and vertigo,0,1.9985957,2.437977,Genetic & Rare Diseases
oxygen therapy,9,3.2107792,6.452229,Genetic & Rare Diseases
huntington's disease,10,4.8762803,7.749621,Pediatrics & Developmental Disorders
premature babies,8,5.5203233,1.0970488,General Medicine & Common Conditions
mouth disorders,15,4.1876817,5.077442,Metabolic & Kidney Disorders
vision impairment and blindness,8,5.5068,0.5295184,General Medicine & Common Conditions
tremor,13,0.12663598,5.063925,Infectious Diseases & Oncology
nose injuries and disorders,16,6.205029,4.0823073,Gastroenterology & Infectious Diseases
diphtheria,0,1.2191833,3.2789962,Genetic & Rare Diseases
esophageal cancer,8,6.160627,0.73439264,General Medicine & Common Conditions
hiv/aids medicines,15,4.787344,4.528792,Metabolic & Kidney Disorders
rural health concerns,15,4.5324264,3.9849434,Metabolic & Kidney Disorders
skin conditions,9,3.206308,6.4012866,Genetic & Rare Diseases
penis disorders,1,5.404719,-0.4889793,Genetic & Rare Diseases
mumps,12,3.6106625,2.9944997,Immunology & Hematology
syphilis,15,4.7678413,4.73771,Metabolic & Kidney Disorders
club drugs,0,1.4055784,4.3730006,Genetic & Rare Diseases
newborn screening,9,3.3063326,6.018788,Genetic & Rare Diseases
emphysema,3,6.6968346,5.086389,General Medicine & Mixed Conditions
surgery,13,-0.28004482,4.248004,Infectious Diseases & Oncology
ulcerative colitis,17,0.789678,3.7525718,Neurology & Genetic Disorders
gallstones,17,1.2049507,4.300763,Neurology & Genetic Disorders
childbirth problems,10,7.9817896,6.4103236,Pediatrics & Developmental Disorders
palliative care,8,6.7615743,0.12060753,General Medicine & Common Conditions
financial assistance,10,3.4269614,6.2516675,Pediatrics & Developmental Disorders
amyloidosis,17,1.2718154,4.290905,Neurology & Genetic Disorders
tubal ligation,17,0.46863785,6.3491726,Neurology & Genetic Disorders
medicines and children,9,6.452442,8.030822,Genetic & Rare Diseases
fungal infections,3,5.432707,2.8655965,General Medicine & Mixed Conditions
rashes,11,4.546406,2.7214382,Neurology & Movement Disorders
endocarditis,0,-0.1655273,3.0779946,Genetic & Rare Diseases
ultrasound,3,5.290995,3.2573783,General Medicine & Mixed Conditions
bedwetting,2,2.5954938,7.8486786,Neurology & Neuromuscular Disorders
hip injuries and disorders,2,2.626207,7.7982807,Neurology & Neuromuscular Disorders
nutrition,13,-0.4117413,4.5087614,Infectious Diseases & Oncology
hodgkin disease,6,1.5307328,3.9170902,Neurology & Autonomic Disorders
pemphigus,3,5.5050135,2.863906,General Medicine & Mixed Conditions
endometriosis,9,6.4857597,7.3896008,Genetic & Rare Diseases
fatigue,8,5.497339,1.2208155,General Medicine & Common Conditions
speech and communication disorders,11,3.767348,2.283942,Neurology & Movement Disorders
frostbite,11,1.192516,3.0908005,Neurology & Movement Disorders
heroin,8,6.434632,-0.0717846,General Medicine & Common Conditions
international health,15,5.0693984,4.5471964,Metabolic & Kidney Disorders
heart valve diseases,0,1.3299834,3.5819643,Genetic & Rare Diseases
diabetic nerve problems,5,4.6108356,2.1100159,Nephrology & Rheumatology
blood count tests,4,5.4964614,2.9624732,Genetic & Rare Diseases
von hippel-lindau disease,2,2.918584,7.9125032,Neurology & Neuromuscular Disorders
organ donation,11,2.9771886,2.058066,Neurology & Movement Disorders
alpha-1 antitrypsin deficiency,8,6.533374,1.2384909,General Medicine & Common Conditions
pneumonia,10,6.143448,7.191337,Pediatrics & Developmental Disorders
hepatitis b,3,5.5161743,2.8732452,General Medicine & Mixed Conditions
noise,8,5.786111,0.5330038,General Medicine & Common Conditions
hiatal hernia,8,4.871346,0.15933709,General Medicine & Common Conditions
sprains and strains,7,1.4507169,4.445343,Genetic & Rare Diseases
bowel movement,6,1.9453982,4.3559966,Neurology & Autonomic Disorders
coma,1,5.6002984,0.7927638,Genetic & Rare Diseases
choking,4,2.1939187,6.1335297,Genetic & Rare Diseases
dwarfism,16,6.944366,6.577478,Gastroenterology & Infectious Diseases
post-traumatic stress disorder,11,3.2701573,2.1257257,Neurology & Movement Disorders
sodium,8,5.8489294,1.1967956,General Medicine & Common Conditions
lactose intolerance,12,2.7404008,1.2178736,Immunology & Hematology
vitiligo,1,5.9406915,-0.32262927,Genetic & Rare Diseases
methamphetamine,0,2.6334107,5.207782,Genetic & Rare Diseases
native american health,8,6.825117,0.2986113,General Medicine & Common Conditions
prescription drug abuse,1,5.2303176,-0.11404889,Genetic & Rare Diseases
cold and cough medicines,3,3.8837678,3.1689095,General Medicine & Mixed Conditions
canker sores,10,6.670188,7.050432,Pediatrics & Developmental Disorders
measles,3,5.3423095,1.5823114,General Medicine & Mixed Conditions
stillbirth,9,6.486476,8.164681,Genetic & Rare Diseases
cocaine,8,6.5174165,0.34587833,General Medicine & Common Conditions
metabolic syndrome,17,0.8134924,3.732444,Neurology & Genetic Disorders
hemophilia,0,1.3179653,3.7018583,Genetic & Rare Diseases
bursitis,8,6.240467,-0.10226791,General Medicine & Common Conditions
cerebellar disorders,6,2.4733517,4.6546206,Neurology & Autonomic Disorders
water pollution,1,1.3876731,2.811056,Genetic & Rare Diseases
bacterial infections,15,5.22426,4.8666244,Metabolic & Kidney Disorders
clostridium difficile infections,17,-0.53106475,6.3456874,Neurology & Genetic Disorders
ozone,11,4.353004,2.9439492,Neurology & Movement Disorders
erectile dysfunction,11,3.09443,2.9100804,Neurology & Movement Disorders
chemical emergencies,17,0.48054793,6.3632183,Neurology & Genetic Disorders
tendinitis,5,4.6623373,1.5596328,Nephrology & Rheumatology
cat scratch disease,8,6.061967,1.3954011,General Medicine & Common Conditions
weight control,0,2.2648768,3.5175414,Genetic & Rare Diseases
bell's palsy,17,1.3712393,4.5026913,Neurology & Genetic Disorders
jaundice,2,-0.25512767,4.372531,Neurology & Neuromuscular Disorders
aneurysms,11,1.2639456,6.874834,Neurology & Movement Disorders
mri scans,17,-0.33852312,6.322006,Neurology & Genetic Disorders
lead poisoning,6,2.5641794,4.731283,Neurology & Autonomic Disorders
bleeding disorders,12,4.7677307,4.2540984,Immunology & Hematology
parasitic diseases,15,3.8912995,4.238121,Metabolic & Kidney Disorders
coronavirus infections,1,1.17021,3.0761533,Genetic & Rare Diseases
pulmonary fibrosis,11,4.8294063,0.15218891,Neurology & Movement Disorders
impaired driving,12,1.4462234,2.948834,Immunology & Hematology
sun exposure,8,6.3695846,1.2921836,General Medicine & Common Conditions
pregnancy and medicines,8,6.2912517,1.2294364,General Medicine & Common Conditions
metabolic panel,15,4.756216,4.328957,Metabolic & Kidney Disorders
aplastic anemia,15,3.6967485,4.644623,Metabolic & Kidney Disorders
tornadoes,9,6.43415,8.256644,Genetic & Rare Diseases
attention deficit hyperactivity disorder,11,1.4705566,4.4515924,Neurology & Movement Disorders
mood disorders,13,-0.3665734,4.502188,Infectious Diseases & Oncology
degenerative nerve diseases,12,3.3848815,5.52325,Immunology & Hematology
granulomatosis with polyangiitis,9,6.35842,8.153856,Genetic & Rare Diseases
genetic disorders,0,1.5903631,3.9697058,Genetic & Rare Diseases
health disparities,15,4.309146,5.032635,Metabolic & Kidney Disorders
fever,2,2.8116233,7.5823827,Neurology & Neuromuscular Disorders
abdominal pain,11,4.4980407,2.1162708,Neurology & Movement Disorders
transient ischemic attack,8,5.995599,1.0110142,General Medicine & Common Conditions
germs and hygiene,8,6.327072,0.8489011,General Medicine & Common Conditions
aortic aneurysm,3,7.3216586,3.9858816,General Medicine & Mixed Conditions
soft tissue sarcoma,16,6.6798506,7.0997,Gastroenterology & Infectious Diseases
infections and pregnancy,9,6.4463453,8.108334,Genetic & Rare Diseases
eczema,6,3.1589465,4.868846,Neurology & Autonomic Disorders
sinusitis,7,4.9656143,0.92587703,Genetic & Rare Diseases
scars,8,5.079323,0.832755,General Medicine & Common Conditions
infant and newborn development,6,0.56429887,5.512799,Neurology & Autonomic Disorders
exercise and physical fitness,1,5.539574,0.7707161,Genetic & Rare Diseases
heart diseases,8,4.9599853,0.030350719,General Medicine & Common Conditions
neurologic diseases,2,5.0208845,6.380371,Neurology & Neuromuscular Disorders
rotator cuff injuries,5,5.1033316,3.5297883,Nephrology & Rheumatology
liver cancer,16,7.7121434,2.9112005,Gastroenterology & Infectious Diseases
haemophilus infections,14,8.840646,4.3234243,Miscellaneous & Ethics
autism spectrum disorder,8,6.0636497,0.6189874,General Medicine & Common Conditions
heel injuries and disorders,11,2.9220119,2.7238286,Neurology & Movement Disorders
arthritis,11,4.2375665,2.530366,Neurology & Movement Disorders
meniere's disease,13,0.21305065,4.3562894,Infectious Diseases & Oncology
bereavement,3,3.7110665,1.5047004,General Medicine & Mixed Conditions
smokeless tobacco,8,6.1709065,1.2894901,General Medicine & Common Conditions
head injuries,6,0.5513745,5.5540185,Neurology & Autonomic Disorders
child behavior disorders,7,4.479502,1.1128576,Genetic & Rare Diseases
deep vein thrombosis,15,3.8740857,4.159636,Metabolic & Kidney Disorders
mycobacterial infections,0,5.3877954,1.3969399,Genetic & Rare Diseases
health problems in pregnancy,8,6.4733434,0.82580155,General Medicine & Common Conditions
stem cells,5,4.76168,0.16295743,Nephrology & Rheumatology
respiratory failure,1,5.734254,0.2616991,Genetic & Rare Diseases
diabetic kidney problems,8,6.147722,0.26444143,General Medicine & Common Conditions
plastic and cosmetic surgery,5,4.887818,1.3479433,Nephrology & Rheumatology
acne,8,6.231445,0.3429056,General Medicine & Common Conditions
cirrhosis,8,6.4889565,0.8898255,General Medicine & Common Conditions
endocrine diseases,0,2.7916613,2.295951,Genetic & Rare Diseases
emergency medical services,15,5.4400706,4.286484,Metabolic & Kidney Disorders
dash diet,5,2.6224034,5.685135,Nephrology & Rheumatology
common infant and newborn problems,8,5.8901887,-0.17952889,General Medicine & Common Conditions
sexual assault,8,5.5875735,1.5122416,General Medicine & Common Conditions
carbohydrates,8,6.0635667,0.64100784,General Medicine & Common Conditions
nutritional support,8,4.861417,0.2437948,General Medicine & Common Conditions
child safety,1,5.063675,-0.26782656,Genetic & Rare Diseases
teen health,6,0.5891258,5.5414033,Neurology & Autonomic Disorders
autonomic nervous system disorders,0,1.9913862,5.9669385,Genetic & Rare Diseases
fires,10,2.0328522,5.8607445,Pediatrics & Developmental Disorders
hantavirus infections,1,4.9185905,-6.794801e-05,Genetic & Rare Diseases
eating disorders,5,4.626329,1.9402432,Nephrology & Rheumatology
foreign bodies,0,5.681075,0.8753198,Genetic & Rare Diseases
kidney failure,8,6.2084675,0.8451038,General Medicine & Common Conditions
toddler development,8,4.476856,0.6656089,General Medicine & Common Conditions
breathing problems,7,5.9562335,1.2872659,Genetic & Rare Diseases
biodefense and bioterrorism,14,8.910818,4.533508,Miscellaneous & Ethics
adrenal gland disorders,8,6.430904,1.1280028,General Medicine & Common Conditions
antioxidants,10,5.5589185,6.8074155,Pediatrics & Developmental Disorders
body weight,14,8.831442,4.4958954,Miscellaneous & Ethics
antibiotics,8,6.253978,0.9493429,General Medicine & Common Conditions
steroids,10,4.91632,7.767704,Pediatrics & Developmental Disorders
hemorrhagic stroke,11,2.7930393,5.561172,Neurology & Movement Disorders
tailbone disorders,9,3.1812582,6.3787327,Genetic & Rare Diseases
mitral valve prolapse,12,2.5830317,2.1306198,Immunology & Hematology
motion sickness,9,6.003588,7.8519316,Genetic & Rare Diseases
spinal stenosis,9,6.109543,7.543964,Genetic & Rare Diseases
motor vehicle safety,3,5.580987,3.4969268,General Medicine & Mixed Conditions
healthy aging,3,5.5008297,0.43830267,General Medicine & Mixed Conditions
colonoscopy,8,6.131827,1.1040854,General Medicine & Common Conditions
ovarian cysts,8,6.5933056,1.9938525,General Medicine & Common Conditions
mercury,3,5.6494665,3.2971587,General Medicine & Mixed Conditions
phobias,2,2.8532853,7.430961,Neurology & Neuromuscular Disorders
diarrhea,10,4.859304,6.8964705,Pediatrics & Developmental Disorders
cochlear implants,15,5.257374,4.816769,Metabolic & Kidney Disorders
nutrition for seniors,9,6.3699126,8.006841,Genetic & Rare Diseases
infectious arthritis,7,2.9952796,2.557093,Genetic & Rare Diseases
malnutrition,3,6.6072054,5.293071,General Medicine & Mixed Conditions
food allergy,11,3.66253,2.5445476,Neurology & Movement Disorders
tinnitus,13,-0.19483556,4.530923,Infectious Diseases & Oncology
b vitamins,3,7.118712,4.3444304,General Medicine & Mixed Conditions
pain relievers,0,1.6177859,4.386045,Genetic & Rare Diseases
leg injuries and disorders,17,1.1380588,3.6066802,Neurology & Genetic Disorders
uterine cancer,0,1.5405582,3.90254,Genetic & Rare Diseases
hemorrhoids,12,1.1755382,3.6399553,Immunology & Hematology
wilson disease,13,1.7116776,5.860073,Infectious Diseases & Oncology
tick bites,6,3.03768,4.7973104,Neurology & Autonomic Disorders
speech and language problems in children,17,-0.35965827,6.4844007,Neurology & Genetic Disorders
chiropractic,5,5.6753206,5.0143604,Nephrology & Rheumatology
safety,11,1.3119341,6.865096,Neurology & Movement Disorders
secondhand smoke,6,3.634209,4.5032988,Neurology & Autonomic Disorders
diets,13,-0.036897086,5.152951,Infectious Diseases & Oncology
diabetic eye problems,11,1.2387494,6.8096037,Neurology & Movement Disorders
"poison ivy, oak and sumac",1,1.4891037,2.8753052,Genetic & Rare Diseases
animal bites,15,4.399686,4.1056156,Metabolic & Kidney Disorders
mammography,10,4.3141146,4.7580357,Pediatrics & Developmental Disorders
health screening,8,6.246827,0.4362065,General Medicine & Common Conditions
acoustic neuroma,17,1.112048,3.4422915,Neurology & Genetic Disorders
arm injuries and disorders,7,0.7928771,3.862627,Genetic & Rare Diseases
vegetarian diet,12,1.417482,3.5948005,Immunology & Hematology
small intestine disorders,13,-0.37776658,3.9781985,Infectious Diseases & Oncology
asian american health,6,2.1446657,4.2927003,Neurology & Autonomic Disorders
asthma,13,0.4829809,6.172343,Infectious Diseases & Oncology
sleep disorders,0,1.3561914,3.3969624,Genetic & Rare Diseases
turner syndrome,13,-0.45814073,4.9107966,Infectious Diseases & Oncology
shock,0,1.5573826,2.9674323,Genetic & Rare Diseases
artificial limbs,0,2.733468,3.9616568,Genetic & Rare Diseases
diabetic diet,9,5.378585,7.6315303,Genetic & Rare Diseases
pesticides,10,4.7363453,7.4521794,Pediatrics & Developmental Disorders
hidradenitis suppurativa,0,1.4862684,3.1475918,Genetic & Rare Diseases
antidepressants,11,2.7320335,1.9507906,Neurology & Movement Disorders
restless legs,15,5.0407515,4.782512,Metabolic & Kidney Disorders
eosinophilic disorders,7,0.7923732,3.727995,Genetic & Rare Diseases
wilms tumor,13,-0.537223,4.921607,Infectious Diseases & Oncology
hazardous waste,0,2.3761718,2.9442036,Genetic & Rare Diseases
botox,2,2.8470442,7.985616,Neurology & Neuromuscular Disorders
medication errors,8,6.6002884,1.232082,General Medicine & Common Conditions
moles,0,2.7922306,2.7289877,Genetic & Rare Diseases
swallowing disorders,5,4.611246,1.7094847,Nephrology & Rheumatology
tonsils and adenoids,11,2.8177736,2.6992123,Neurology & Movement Disorders
compulsive gambling,8,5.581301,1.2509327,General Medicine & Common Conditions
coping with chronic illness,0,1.7170532,4.3852396,Genetic & Rare Diseases
minerals,2,5.7226925,4.1401453,Neurology & Neuromuscular Disorders
botulism,17,1.4375018,4.627921,Neurology & Genetic Disorders
hypoglycemia,10,4.9829636,6.7206798,Pediatrics & Developmental Disorders
stuttering,13,-0.076878786,4.555952,Infectious Diseases & Oncology
gun safety,5,-0.046258487,5.1621537,Nephrology & Rheumatology
movement disorders,15,2.6157682,3.7774127,Metabolic & Kidney Disorders
crohn's disease,11,5.4805593,1.6984702,Neurology & Movement Disorders
bullying,9,5.879936,7.8366957,Genetic & Rare Diseases
diabetes type 2,11,4.739926,4.3177557,Neurology & Movement Disorders
hyperglycemia,9,5.561675,7.5569353,Genetic & Rare Diseases
native hawaiian and pacific islander health,0,1.2526879,3.5446205,Genetic & Rare Diseases
acupuncture,10,4.711201,7.634582,Pediatrics & Developmental Disorders
vitamin d,8,7.0251365,0.28189963,General Medicine & Common Conditions
liver function tests,17,1.6355065,5.2512946,Neurology & Genetic Disorders
underage drinking,8,6.1133227,1.4676315,General Medicine & Common Conditions
chiari malformation,11,4.434514,2.298224,Neurology & Movement Disorders
prediabetes,11,4.936139,0.09384873,Neurology & Movement Disorders
lymphedema,8,3.8915856,3.4206269,General Medicine & Common Conditions
dietary fats,13,-0.03347044,4.751911,Infectious Diseases & Oncology
leukodystrophies,10,5.17695,6.937881,Pediatrics & Developmental Disorders
