focus_area_norm,focus_area_simple,sample_count,focus_area_display,specialty,specialty_score,assignment_source,runner_up,runner_up_score,score_margin
kidney disease,kidney disease,17,Kidney Disease,Nephrology & Urology,1.0,regex_override,Gastroenterology & Hepatology,0.08850646,0.9114935398101807
cyclic vomiting syndrome,cyclic vomiting syndrome,17,cyclic vomiting syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.008118854,0.9918811460956931
restless legs syndrome,restless legs syndrome,16,Restless legs syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.008214173,0.9917858270928264
porphyria,porphyria,16,Porphyria,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
balance problems,balance problems,16,Balance Problems,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
copd,copd,16,COPD,Pulmonology & Respiratory,1.0,regex_override,General & Preventive Medicine,0.0,1.0
cataract,cataract,16,Cataract,Ophthalmology,1.0,regex_override,General & Preventive Medicine,0.0,1.0
ewing sarcoma,ewing sarcoma,16,Ewing Sarcoma,Oncology,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
celiac disease,celiac disease,16,Celiac Disease,Gastroenterology & Hepatology,1.0,regex_override,Pulmonology & Respiratory,0.061270043,0.9387299567461014
dry mouth,dry mouth,16,Dry Mouth,Dental & Oral Health,1.0,regex_override,General & Preventive Medicine,0.0,1.0
autoimmune hepatitis,autoimmune hepatitis,15,Autoimmune hepatitis,Infectious Diseases,1.0,regex_override,Infectious Diseases,0.35,0.6500000059604645
prescription and illicit drug abuse,prescription and illicit drug abuse,15,Prescription and Illicit Drug Abuse,General & Preventive Medicine,0.0099663520231843,fallback_default,Oncology,0.009652926,0.0003134263679385185
tourette syndrome,tourette syndrome,15,Tourette Syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
cushing's syndrome,cushing s syndrome,15,Cushing's Syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.011358343,0.988641656935215
medicare and continuing care,medicare and continuing care,15,Medicare and Continuing Care,General & Preventive Medicine,0.046243682503700256,fallback_default,Obstetrics & Gynecology,0.035716075,0.010527607053518295
gout,gout,15,Gout,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
ulcerative colitis,ulcerative colitis,15,Ulcerative Colitis,Gastroenterology & Hepatology,1.0,regex_override,General & Preventive Medicine,0.0,1.0
glaucoma,glaucoma,15,Glaucoma,Ophthalmology,1.0,regex_override,General & Preventive Medicine,0.0,1.0
tay-sachs disease,tay sachs disease,15,Tay-Sachs Disease,General & Preventive Medicine,0.04559391364455223,fallback_default,Pulmonology & Respiratory,0.040575847,0.005018066614866257
marfan syndrome,marfan syndrome,15,Marfan Syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
pelizaeus-merzbacher disease,pelizaeus merzbacher disease,14,Pelizaeus-Merzbacher disease,General & Preventive Medicine,0.04888557642698288,fallback_default,Pulmonology & Respiratory,0.04350523,0.005380347371101379
rett syndrome,rett syndrome,14,Rett Syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
endometrial cancer,endometrial cancer,14,Endometrial Cancer,Oncology,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
lactose intolerance,lactose intolerance,14,Lactose Intolerance,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
problems with taste,problems with taste,14,Problems with Taste,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
septo-optic dysplasia,septo optic dysplasia,14,Septo-optic dysplasia,Ophthalmology,1.0,regex_override,General & Preventive Medicine,0.0,1.0
fanconi anemia,fanconi anemia,14,Fanconi anemia,Hematology,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
osteoarthritis,osteoarthritis,14,Osteoarthritis,Musculoskeletal & Orthopedics,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
short bowel syndrome,short bowel syndrome,14,Short Bowel Syndrome,Gastroenterology & Hepatology,1.0,regex_override,Gastroenterology & Hepatology,0.36135668,0.6386433243751526
von willebrand disease,von willebrand disease,14,Von Willebrand disease,General & Preventive Medicine,0.046710092574357986,fallback_default,Pulmonology & Respiratory,0.04156918,0.005140911787748337
essential tremor,essential tremor,14,Essential tremor,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
multiple sclerosis,multiple sclerosis,14,Multiple Sclerosis,Neurology & Neurosurgery,1.0,regex_override,General & Preventive Medicine,0.0,1.0
troyer syndrome,troyer syndrome,14,Troyer syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
retinoblastoma,retinoblastoma,14,Retinoblastoma,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
anxiety disorders,anxiety disorders,13,Anxiety Disorders,Psychiatry & Behavioral Health,1.0,regex_override,Hematology,0.07018262,0.9298173785209656
pituitary tumors,pituitary tumors,13,Pituitary Tumors,Endocrinology & Diabetes,1.0,regex_override,General & Preventive Medicine,0.0,1.0
joubert syndrome,joubert syndrome,13,Joubert syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.012017287,0.9879827126860619
intestinal pseudo-obstruction,intestinal pseudo obstruction,13,Intestinal pseudo-obstruction,Gastroenterology & Hepatology,1.0,regex_override,Otolaryngology & ENT,0.052727148,0.947272852063179
kawasaki disease,kawasaki disease,13,Kawasaki Disease,General & Preventive Medicine,0.06445026397705078,fallback_default,Pulmonology & Respiratory,0.057356864,0.0070933997631073
williams syndrome,williams syndrome,13,Williams syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.011623846,0.9883761536329985
metachromatic leukodystrophy,metachromatic leukodystrophy,13,Metachromatic leukodystrophy,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
peripheral arterial disease (p.a.d.),peripheral arterial disease p a d,13,Peripheral Arterial Disease (P.A.D.),General & Preventive Medicine,0.05052976682782173,fallback_default,Pulmonology & Respiratory,0.04496846,0.005561307072639465
primary sclerosing cholangitis,primary sclerosing cholangitis,13,primary sclerosing cholangitis,General & Preventive Medicine,0.031395964324474335,fallback_default,Genetics & Rare Disorders,0.0,0.031395964324474335
surviving cancer,surviving cancer,13,Surviving Cancer,Oncology,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
"diabetes, heart disease, and stroke",diabetes heart disease and stroke,13,"Diabetes, Heart Disease, and Stroke",Cardiology & Vascular,1.0,regex_override,Endocrinology & Diabetes,0.42750025,0.5724997520446777
urinary tract infections in children,urinary tract infections in children,13,Urinary Tract Infections in Children,Nephrology & Urology,1.0,regex_override,Infectious Diseases,0.051219597,0.9487804025411606
angelman syndrome,angelman syndrome,13,Angelman syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
anencephaly,anencephaly,13,Anencephaly,Neurology & Neurosurgery,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
moyamoya disease,moyamoya disease,13,Moyamoya disease,General & Preventive Medicine,0.0631067305803299,fallback_default,Pulmonology & Respiratory,0.056161206,0.006945524364709854
problems with smell,problems with smell,13,Problems with Smell,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
fabry disease,fabry disease,13,Fabry disease,General & Preventive Medicine,0.06445026397705078,fallback_default,Pulmonology & Respiratory,0.057356864,0.0070933997631073
dry eye,dry eye,13,Dry Eye,Ophthalmology,1.0,regex_override,General & Preventive Medicine,0.0,1.0
kidney dysplasia,kidney dysplasia,13,Kidney Dysplasia,Nephrology & Urology,1.0,regex_override,General & Preventive Medicine,0.0,1.0
cystic fibrosis,cystic fibrosis,12,Cystic Fibrosis,Pulmonology & Respiratory,0.26926469802856445,anchor_similarity,General & Preventive Medicine,0.0,0.26926469802856445
diabetic neuropathies: the nerve damage of diabetes,diabetic neuropathies the nerve damage of diabetes,12,Diabetic Neuropathies: The Nerve Damage of Diabetes,Endocrinology & Diabetes,0.4197619557380676,anchor_similarity,Neurology & Neurosurgery,0.3,0.11976194381713867
what i need to know about kidney failure and how its treated,what i need to know about kidney failure and how its treated,12,What I need to know about Kidney Failure and How Its Treated,Nephrology & Urology,1.0,regex_override,Cardiology & Vascular,0.022848228,0.9771517720073462
national hormone and pituitary program (nhpp): information for people treated with pituitary human growth hormone (comprehensive report),national hormone and pituitary program nhpp information for people treated with pituitary human growth hormone comprehensive report,12,National Hormone and Pituitary Program (NHPP): Information for People Treated with Pituitary Human Growth Hormone (Comprehensive Report),Endocrinology & Diabetes,1.0,regex_override,Pediatrics & Development,0.2182928,0.7817071974277496
hypoglycemia,hypoglycemia,12,Hypoglycemia,Endocrinology & Diabetes,0.20000000298023224,anchor_similarity,General & Preventive Medicine,0.0,0.20000000298023224
gaucher disease,gaucher disease,12,Gaucher Disease,General & Preventive Medicine,0.0631067305803299,fallback_default,Pulmonology & Respiratory,0.056161206,0.006945524364709854
sotos syndrome,sotos syndrome,12,Sotos syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
thrombotic thrombocytopenic purpura,thrombotic thrombocytopenic purpura,12,Thrombotic Thrombocytopenic Purpura,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
amyloidosis and kidney disease,amyloidosis and kidney disease,12,Amyloidosis and Kidney Disease,Nephrology & Urology,1.0,regex_override,Gastroenterology & Hepatology,0.04737531,0.9526246897876263
amyotrophic lateral sclerosis,amyotrophic lateral sclerosis,12,Amyotrophic Lateral Sclerosis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
creating a family health history,creating a family health history,12,Creating a Family Health History,General & Preventive Medicine,0.0521104671061039,fallback_default,General & Preventive Medicine,0.04803884,0.00407162681221962
sickle cell disease,sickle cell disease,12,Sickle Cell Disease,Hematology,1.0,regex_override,Gastroenterology & Hepatology,0.051218644,0.948781356215477
kidney failure: eat right to feel right on hemodialysis,kidney failure eat right to feel right on hemodialysis,12,Kidney Failure: Eat Right to Feel Right on Hemodialysis,Nephrology & Urology,1.0,regex_override,Cardiology & Vascular,0.02148697,0.9785130303353071
hemophilia,hemophilia,12,Hemophilia,Hematology,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
adrenal insufficiency and addison's disease,adrenal insufficiency and addison s disease,12,Adrenal Insufficiency and Addison's Disease,Endocrinology & Diabetes,1.0,regex_override,Gastroenterology & Hepatology,0.03683592,0.9631640799343586
prader-willi syndrome,prader willi syndrome,12,Prader-Willi Syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.008214173,0.9917858270928264
knee replacement,knee replacement,12,Knee Replacement,General & Preventive Medicine,0.07465188205242157,fallback_default,General & Preventive Medicine,0.0,0.07465188205242157
prostate enlargement: benign prostatic hyperplasia,prostate enlargement benign prostatic hyperplasia,12,Prostate Enlargement: Benign Prostatic Hyperplasia,General & Preventive Medicine,0.03570088371634483,fallback_default,Oncology,0.030209001,0.005491882562637329
abdominal adhesions,abdominal adhesions,12,Abdominal Adhesions,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
ehlers-danlos syndrome,ehlers danlos syndrome,12,Ehlers-Danlos Syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.009631785,0.990368215367198
charcot-marie-tooth disease,charcot marie tooth disease,12,Charcot-Marie-Tooth Disease,Dental & Oral Health,1.0,regex_override,Gastroenterology & Hepatology,0.05499785,0.9450021497905254
moebius syndrome,moebius syndrome,12,Moebius syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
fragile x syndrome,fragile x syndrome,12,Fragile X Syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.011677168,0.9883228316903114
depression,depression,12,Depression,Psychiatry & Behavioral Health,0.49388229846954346,anchor_similarity,General & Preventive Medicine,0.0,0.49388229846954346
amelogenesis imperfecta,amelogenesis imperfecta,11,Amelogenesis imperfecta,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
townes-brocks syndrome,townes brocks syndrome,11,Townes-Brocks syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.007937764,0.9920622361823916
multiple system atrophy,multiple system atrophy,11,Multiple system atrophy,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
urinary incontinence,urinary incontinence,11,Urinary Incontinence,Nephrology & Urology,1.0,regex_override,General & Preventive Medicine,0.0,1.0
alcohol use and older adults,alcohol use and older adults,11,Alcohol Use and Older Adults,General & Preventive Medicine,0.050834763795137405,fallback_default,Neurology & Neurosurgery,0.009908644,0.04092612024396658
urinary retention,urinary retention,11,Urinary Retention,Nephrology & Urology,1.0,regex_override,General & Preventive Medicine,0.0,1.0
alzheimer's caregiving,alzheimer s caregiving,11,Alzheimer's Caregiving,Neurology & Neurosurgery,1.0,regex_override,General & Preventive Medicine,0.0,1.0
paget's disease of bone,paget s disease of bone,11,Paget's Disease of Bone,Musculoskeletal & Orthopedics,1.0,regex_override,Gastroenterology & Hepatology,0.04583335,0.9541666507720947
osteogenesis imperfecta,osteogenesis imperfecta,11,Osteogenesis Imperfecta,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
pachyonychia congenita,pachyonychia congenita,11,Pachyonychia congenita,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
bartter syndrome,bartter syndrome,11,Bartter syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.012340801,0.9876591991633177
dihydropyrimidine dehydrogenase deficiency,dihydropyrimidine dehydrogenase deficiency,11,Dihydropyrimidine dehydrogenase deficiency,General & Preventive Medicine,0.023043356835842133,fallback_default,General & Preventive Medicine,0.0,0.023043356835842133
primary ciliary dyskinesia,primary ciliary dyskinesia,11,Primary Ciliary Dyskinesia,General & Preventive Medicine,0.031395964324474335,fallback_default,Genetics & Rare Disorders,0.0,0.031395964324474335
protein c deficiency,protein c deficiency,11,Protein C deficiency,General & Preventive Medicine,0.03191457688808441,fallback_default,General & Preventive Medicine,0.0,0.03191457688808441
klinefelter syndrome,klinefelter syndrome,11,Klinefelter syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.011623846,0.9883761536329985
proctitis,proctitis,11,Proctitis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
mecp2 duplication syndrome,mecp2 duplication syndrome,11,MECP2 duplication syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.008618997,0.9913810025900602
camurati-engelmann disease,camurati engelmann disease,11,Camurati-Engelmann disease,General & Preventive Medicine,0.047694459557533264,fallback_default,Pulmonology & Respiratory,0.04244521,0.005249250680208206
primary hyperparathyroidism,primary hyperparathyroidism,11,Primary hyperparathyroidism,General & Preventive Medicine,0.04167448356747627,fallback_default,Genetics & Rare Disorders,0.0,0.04167448356747627
peters plus syndrome,peters plus syndrome,11,Peters plus syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.008436317,0.9915636833757162
pyruvate kinase deficiency,pyruvate kinase deficiency,11,Pyruvate kinase deficiency,General & Preventive Medicine,0.022182444110512733,fallback_default,General & Preventive Medicine,0.0,0.022182444110512733
liddle syndrome,liddle syndrome,11,Liddle syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
laron syndrome,laron syndrome,11,Laron syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
carnitine-acylcarnitine translocase deficiency,carnitine acylcarnitine translocase deficiency,11,Carnitine-acylcarnitine translocase deficiency,General & Preventive Medicine,0.01763700507581234,fallback_default,General & Preventive Medicine,0.0,0.01763700507581234
nutrition for advanced chronic kidney disease in adults,nutrition for advanced chronic kidney disease in adults,11,Nutrition for Advanced Chronic Kidney Disease in Adults,Nephrology & Urology,1.0,regex_override,General & Preventive Medicine,0.26936814,0.7306318581104279
oculopharyngeal muscular dystrophy,oculopharyngeal muscular dystrophy,11,Oculopharyngeal muscular dystrophy,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
poland syndrome,poland syndrome,11,Poland syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
pyruvate dehydrogenase deficiency,pyruvate dehydrogenase deficiency,11,Pyruvate dehydrogenase deficiency,General & Preventive Medicine,0.02375849150121212,fallback_default,General & Preventive Medicine,0.0,0.02375849150121212
medullary sponge kidney,medullary sponge kidney,11,Medullary Sponge Kidney,Nephrology & Urology,1.0,regex_override,General & Preventive Medicine,0.0,1.0
holt-oram syndrome,holt oram syndrome,11,Holt-Oram syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.007937764,0.9920622361823916
factor v leiden thrombophilia,factor v leiden thrombophilia,11,Factor V Leiden thrombophilia,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
danon disease,danon disease,11,Danon disease,General & Preventive Medicine,0.0631067305803299,fallback_default,Pulmonology & Respiratory,0.056161206,0.006945524364709854
huntington disease,huntington disease,11,Huntington disease,General & Preventive Medicine,0.06972911953926086,fallback_default,Pulmonology & Respiratory,0.062054735,0.0076743848621845245
succinic semialdehyde dehydrogenase deficiency,succinic semialdehyde dehydrogenase deficiency,11,Succinic semialdehyde dehydrogenase deficiency,General & Preventive Medicine,0.018371978774666786,fallback_default,General & Preventive Medicine,0.0,0.018371978774666786
asperger syndrome,asperger syndrome,11,Asperger syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
mandibulofacial dysostosis with microcephaly,mandibulofacial dysostosis with microcephaly,11,Mandibulofacial dysostosis with microcephaly,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
nephrogenic diabetes insipidus,nephrogenic diabetes insipidus,11,Nephrogenic diabetes insipidus,Endocrinology & Diabetes,0.43182289600372314,anchor_similarity,General & Preventive Medicine,0.0,0.43182289600372314
iga nephropathy,iga nephropathy,11,IgA Nephropathy,General & Preventive Medicine,0.07471828162670135,fallback_default,General & Preventive Medicine,0.0,0.07471828162670135
sarcoidosis,sarcoidosis,11,Sarcoidosis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
lennox-gastaut syndrome,lennox gastaut syndrome,11,Lennox-Gastaut syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.007937764,0.9920622361823916
merkel cell carcinoma,merkel cell carcinoma,11,Merkel Cell Carcinoma,Oncology,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
diverticular disease,diverticular disease,11,Diverticular Disease,General & Preventive Medicine,0.06588342040777206,fallback_default,Pulmonology & Respiratory,0.05863229,0.007251128554344177
opitz g/bbb syndrome,opitz g bbb syndrome,11,Opitz G/BBB syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.008089127,0.9919108729809523
down syndrome,down syndrome,11,Down Syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
neurofibromatosis type 1,neurofibromatosis type 1,11,Neurofibromatosis type 1,Neurology & Neurosurgery,0.30000001192092896,anchor_similarity,General & Preventive Medicine,0.0,0.30000001192092896
vesicoureteral reflux,vesicoureteral reflux,11,Vesicoureteral Reflux,Gastroenterology & Hepatology,0.20000000298023224,anchor_similarity,General & Preventive Medicine,0.0,0.20000000298023224
sleep apnea,sleep apnea,11,Sleep Apnea,Pulmonology & Respiratory,0.5183957815170288,anchor_similarity,Otolaryngology & ENT,0.20966074,0.30873504281044006
cowden syndrome,cowden syndrome,11,Cowden syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
cornelia de lange syndrome,cornelia de lange syndrome,11,Cornelia de Lange syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.0067950743,0.9932049256749451
adiposis dolorosa,adiposis dolorosa,11,Adiposis dolorosa,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
gallstones,gallstones,11,Gallstones,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
abetalipoproteinemia,abetalipoproteinemia,11,Abetalipoproteinemia,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
giant axonal neuropathy,giant axonal neuropathy,11,Giant axonal neuropathy,Neurology & Neurosurgery,1.0,regex_override,General & Preventive Medicine,0.0,1.0
greig cephalopolysyndactyly syndrome,greig cephalopolysyndactyly syndrome,11,Greig cephalopolysyndactyly syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.007937764,0.9920622361823916
multiple familial trichoepithelioma,multiple familial trichoepithelioma,11,Multiple familial trichoepithelioma,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
gm1 gangliosidosis,gm1 gangliosidosis,11,GM1 gangliosidosis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
21-hydroxylase deficiency,21 hydroxylase deficiency,11,21-hydroxylase deficiency,General & Preventive Medicine,0.023208031430840492,fallback_default,General & Preventive Medicine,0.0,0.023208031430840492
wolfram syndrome,wolfram syndrome,11,Wolfram syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
acromegaly,acromegaly,11,Acromegaly,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
hereditary fructose intolerance,hereditary fructose intolerance,10,Hereditary fructose intolerance,Genetics & Rare Disorders,1.0,regex_override,General & Preventive Medicine,0.0,1.0
triple a syndrome,triple a syndrome,10,Triple A syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.011623846,0.9883761536329985
peutz-jeghers syndrome,peutz jeghers syndrome,10,Peutz-Jeghers syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.007937764,0.9920622361823916
renal artery stenosis,renal artery stenosis,10,Renal Artery Stenosis,Cardiology & Vascular,1.0,regex_override,Cardiology & Vascular,0.30757353,0.692426472902298
schizencephaly,schizencephaly,10,Schizencephaly,Neurology & Neurosurgery,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
isobutyryl-coa dehydrogenase deficiency,isobutyryl coa dehydrogenase deficiency,10,Isobutyryl-CoA dehydrogenase deficiency,General & Preventive Medicine,0.019622690975666046,fallback_default,General & Preventive Medicine,0.0,0.019622690975666046
pyelonephritis: kidney infection,pyelonephritis kidney infection,10,Pyelonephritis: Kidney Infection,Nephrology & Urology,1.0,regex_override,Infectious Diseases,0.2,0.7999999970197678
gilbert syndrome,gilbert syndrome,10,Gilbert syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
