focus_area,cluster,umap_x,umap_y
uterine sarcoma,13,0.649169,5.3505864
polycythemia vera,8,5.980259,1.4255966
chronic myelogenous leukemia,10,4.972069,7.7626543
merkel cell carcinoma,11,3.1456192,2.10095
extragonadal germ cell tumors,12,2.0104396,2.2699213
renal cell cancer,12,2.2575328,3.743453
chronic neutrophilic leukemia,8,6.3100467,1.0330191
small cell lung cancer,12,2.853659,5.3884416
ovarian low malignant potential tumors,6,2.001361,4.2047257
chronic eosinophilic leukemia,0,1.6586924,4.4209776
"ovarian, fallopian tube, and primary peritoneal cancer",12,1.6329472,2.0821717
colon cancer,17,2.929919,3.3894398
liver (hepatocellular) cancer,12,2.1611762,2.2126987
testicular cancer,15,3.7531652,4.614591
intraocular (uveal) melanoma,8,5.7939534,-0.25328442
hypopharyngeal cancer,13,-0.552006,4.7784357
"myelodysplastic/ myeloproliferative neoplasm, unclassifiable",17,2.4173837,3.2735913
rectal cancer,2,5.265109,0.14703648
myelodysplastic syndromes,5,4.422071,3.1232092
childhood astrocytomas,0,1.518349,3.0724921
metastatic squamous neck cancer with occult primary,8,5.807199,0.58817
small intestine cancer,13,1.7293919,5.8830013
childhood acute myeloid leukemia and other myeloid malignancies,0,2.8539612,3.5318816
non-small cell lung cancer,11,0.795809,3.8816826
juvenile myelomonocytic leukemia,8,6.0816774,0.89435875
childhood vascular tumors,10,6.4470325,7.055755
childhood brain stem glioma,8,6.184663,0.64582336
transitional cell cancer of the renal pelvis and ureter,8,5.7144446,0.88465506
gestational trophoblastic disease,17,1.8348732,5.844879
"ovarian epithelial, fallopian tube, and primary peritoneal cancer",15,4.9691467,7.1980104
oral cavity and oropharyngeal cancer,10,4.853975,7.7635803
endometrial cancer,11,2.2092285,5.5506124
aids-related lymphoma,12,2.5817404,2.9348083
pancreatic cancer,0,1.971212,3.3271103
bile duct cancer (cholangiocarcinoma),17,1.3777078,4.369571
pancreatic neuroendocrine tumors (islet cell tumors),17,1.2085862,4.243664
laryngeal cancer,3,6.294369,4.6538024
plasma cell neoplasms (including multiple myeloma),8,5.85519,0.18249772
salivary gland cancer,8,5.1429,6.191613
childhood non-hodgkin lymphoma,15,3.3053281,4.0919504
gastrointestinal carcinoid tumors,1,7.440159,3.688593
adult soft tissue sarcoma,10,1.9246505,5.885106
primary cns lymphoma,8,6.0656247,0.66633534
neuroblastoma,17,1.1898934,4.4364357
osteosarcoma and malignant fibrous histiocytoma of bone,10,4.686893,7.5445323
adult non-hodgkin lymphoma,17,-0.36669633,6.449197
kaposi sarcoma,17,2.2003376,1.8019955
chronic lymphocytic leukemia,17,0.1849459,1.5132768
adult central nervous system tumors,12,2.1454737,1.946131
essential thrombocythemia,8,6.5105023,0.6352018
childhood rhabdomyosarcoma,8,5.8473697,1.4533962
pituitary tumors,8,6.4204507,0.29346618
chronic myelomonocytic leukemia,4,6.7256875,3.3356233
nasopharyngeal cancer,9,5.8161926,7.7860513
gastrointestinal stromal tumors,9,6.440226,8.255428
adult primary liver cancer,3,5.791466,3.9298146
childhood central nervous system embryonal tumors,8,6.7827697,0.87596124
adult hodgkin lymphoma,9,6.4099536,8.10944
adult acute lymphoblastic leukemia,0,1.4694875,4.4231076
chronic myeloproliferative neoplasms,17,0.6401096,1.4785429
parathyroid cancer,9,6.507989,8.115235
lip and oral cavity cancer,11,3.9159274,2.495065
childhood craniopharyngioma,0,1.1772394,3.3325052
childhood ependymoma,8,5.9563613,1.5229692
childhood central nervous system germ cell tumors,9,-0.17514116,6.635208
ovarian germ cell tumors,10,2.7243826,6.7444854
childhood hodgkin lymphoma,0,1.4723411,4.360563
penile cancer,2,2.6422877,7.7281265
oropharyngeal cancer,9,5.9287252,8.244235
male breast cancer,10,1.7484599,5.5955462
primary myelofibrosis,15,4.4745655,4.026143
urethral cancer,8,6.832711,0.7820668
melanoma,8,5.4553285,0.8483193
childhood central nervous system atypical teratoid/rhabdoid tumor,5,4.530448,3.3684752
retinoblastoma,5,5.7448673,1.0371333
childhood acute lymphoblastic leukemia,0,1.281249,3.715029
childhood liver cancer,16,6.8609056,6.5021467
mycosis fungoides and the szary syndrome,8,4.7811832,0.16309951
ewing sarcoma,17,0.2341258,1.4933223
childhood brain and spinal cord tumors,8,6.373343,-0.081347376
langerhans cell histiocytosis,10,4.9147735,7.345426
paranasal sinus and nasal cavity cancer,0,1.3000987,3.6786807
campylobacter infections,12,5.8034754,1.6138037
pregnancy and substance abuse,9,6.4187903,8.233346
radiation therapy,8,6.999501,0.1718522
rehabilitation,0,1.3762316,3.1515298
iron,0,1.2796401,3.5739915
pregnancy and nutrition,8,6.106801,1.1786896
interstitial lung diseases,17,0.42755517,6.320618
volcanoes,10,1.9651419,6.0462537
hiccups,8,6.118821,0.6441791
premenstrual syndrome,9,6.3683076,8.241567
dizziness and vertigo,0,1.9985957,2.437977
oxygen therapy,9,3.2107792,6.452229
huntington's disease,10,4.8762803,7.749621
premature babies,8,5.5203233,1.0970488
mouth disorders,15,4.1876817,5.077442
vision impairment and blindness,8,5.5068,0.5295184
tremor,13,0.12663598,5.063925
nose injuries and disorders,16,6.205029,4.0823073
diphtheria,0,1.2191833,3.2789962
esophageal cancer,8,6.160627,0.73439264
hiv/aids medicines,15,4.787344,4.528792
rural health concerns,15,4.5324264,3.9849434
skin conditions,9,3.206308,6.4012866
penis disorders,1,5.404719,-0.4889793
mumps,12,3.6106625,2.9944997
syphilis,15,4.7678413,4.73771
club drugs,0,1.4055784,4.3730006
newborn screening,9,3.3063326,6.018788
emphysema,3,6.6968346,5.086389
surgery,13,-0.28004482,4.248004
ulcerative colitis,17,0.789678,3.7525718
gallstones,17,1.2049507,4.300763
childbirth problems,10,7.9817896,6.4103236
palliative care,8,6.7615743,0.12060753
financial assistance,10,3.4269614,6.2516675
amyloidosis,17,1.2718154,4.290905
tubal ligation,17,0.46863785,6.3491726
medicines and children,9,6.452442,8.030822
fungal infections,3,5.432707,2.8655965
rashes,11,4.546406,2.7214382
endocarditis,0,-0.1655273,3.0779946
ultrasound,3,5.290995,3.2573783
bedwetting,2,2.5954938,7.8486786
hip injuries and disorders,2,2.626207,7.7982807
nutrition,13,-0.4117413,4.5087614
hodgkin disease,6,1.5307328,3.9170902
pemphigus,3,5.5050135,2.863906
endometriosis,9,6.4857597,7.3896008
fatigue,8,5.497339,1.2208155
speech and communication disorders,11,3.767348,2.283942
frostbite,11,1.192516,3.0908005
heroin,8,6.434632,-0.0717846
international health,15,5.0693984,4.5471964
heart valve diseases,0,1.3299834,3.5819643
diabetic nerve problems,5,4.6108356,2.1100159
blood count tests,4,5.4964614,2.9624732
von hippel-lindau disease,2,2.918584,7.9125032
organ donation,11,2.9771886,2.058066
alpha-1 antitrypsin deficiency,8,6.533374,1.2384909
pneumonia,10,6.143448,7.191337
hepatitis b,3,5.5161743,2.8732452
noise,8,5.786111,0.5330038
hiatal hernia,8,4.871346,0.15933709
sprains and strains,7,1.4507169,4.445343
bowel movement,6,1.9453982,4.3559966
coma,1,5.6002984,0.7927638
choking,4,2.1939187,6.1335297
dwarfism,16,6.944366,6.577478
post-traumatic stress disorder,11,3.2701573,2.1257257
sodium,8,5.8489294,1.1967956
lactose intolerance,12,2.7404008,1.2178736
vitiligo,1,5.9406915,-0.32262927
methamphetamine,0,2.6334107,5.207782
native american health,8,6.825117,0.2986113
prescription drug abuse,1,5.2303176,-0.11404889
cold and cough medicines,3,3.8837678,3.1689095
canker sores,10,6.670188,7.050432
measles,3,5.3423095,1.5823114
stillbirth,9,6.486476,8.164681
cocaine,8,6.5174165,0.34587833
metabolic syndrome,17,0.8134924,3.732444
hemophilia,0,1.3179653,3.7018583
bursitis,8,6.240467,-0.10226791
cerebellar disorders,6,2.4733517,4.6546206
water pollution,1,1.3876731,2.811056
bacterial infections,15,5.22426,4.8666244
clostridium difficile infections,17,-0.53106475,6.3456874
ozone,11,4.353004,2.9439492
erectile dysfunction,11,3.09443,2.9100804
chemical emergencies,17,0.48054793,6.3632183
tendinitis,5,4.6623373,1.5596328
cat scratch disease,8,6.061967,1.3954011
weight control,0,2.2648768,3.5175414
bell's palsy,17,1.3712393,4.5026913
jaundice,2,-0.25512767,4.372531
aneurysms,11,1.2639456,6.874834
mri scans,17,-0.33852312,6.322006
lead poisoning,6,2.5641794,4.731283
bleeding disorders,12,4.7677307,4.2540984
parasitic diseases,15,3.8912995,4.238121
coronavirus infections,1,1.17021,3.0761533
pulmonary fibrosis,11,4.8294063,0.15218891
impaired driving,12,1.4462234,2.948834
sun exposure,8,6.3695846,1.2921836
pregnancy and medicines,8,6.2912517,1.2294364
metabolic panel,15,4.756216,4.328957
aplastic anemia,15,3.6967485,4.644623
tornadoes,9,6.43415,8.256644
attention deficit hyperactivity disorder,11,1.4705566,4.4515924
mood disorders,13,-0.3665734,4.502188
degenerative nerve diseases,12,3.3848815,5.52325
granulomatosis with polyangiitis,9,6.35842,8.153856
genetic disorders,0,1.5903631,3.9697058
health disparities,15,4.309146,5.032635
fever,2,2.8116233,7.5823827
abdominal pain,11,4.4980407,2.1162708
transient ischemic attack,8,5.995599,1.0110142
germs and hygiene,8,6.327072,0.8489011
aortic aneurysm,3,7.3216586,3.9858816
soft tissue sarcoma,16,6.6798506,7.0997
infections and pregnancy,9,6.4463453,8.108334
eczema,6,3.1589465,4.868846
sinusitis,7,4.9656143,0.92587703
scars,8,5.079323,0.832755
infant and newborn development,6,0.56429887,5.512799
exercise and physical fitness,1,5.539574,0.7707161
heart diseases,8,4.9599853,0.030350719
neurologic diseases,2,5.0208845,6.380371
rotator cuff injuries,5,5.1033316,3.5297883
liver cancer,16,7.7121434,2.9112005
haemophilus infections,14,8.840646,4.3234243
autism spectrum disorder,8,6.0636497,0.6189874
heel injuries and disorders,11,2.9220119,2.7238286
arthritis,11,4.2375665,2.530366
meniere's disease,13,0.21305065,4.3562894
bereavement,3,3.7110665,1.5047004
smokeless tobacco,8,6.1709065,1.2894901
head injuries,6,0.5513745,5.5540185
child behavior disorders,7,4.479502,1.1128576
deep vein thrombosis,15,3.8740857,4.159636
mycobacterial infections,0,5.3877954,1.3969399
health problems in pregnancy,8,6.4733434,0.82580155
stem cells,5,4.76168,0.16295743
respiratory failure,1,5.734254,0.2616991
diabetic kidney problems,8,6.147722,0.26444143
plastic and cosmetic surgery,5,4.887818,1.3479433
acne,8,6.231445,0.3429056
cirrhosis,8,6.4889565,0.8898255
endocrine diseases,0,2.7916613,2.295951
emergency medical services,15,5.4400706,4.286484
dash diet,5,2.6224034,5.685135
common infant and newborn problems,8,5.8901887,-0.17952889
sexual assault,8,5.5875735,1.5122416
carbohydrates,8,6.0635667,0.64100784
nutritional support,8,4.861417,0.2437948
child safety,1,5.063675,-0.26782656
teen health,6,0.5891258,5.5414033
autonomic nervous system disorders,0,1.9913862,5.9669385
fires,10,2.0328522,5.8607445
hantavirus infections,1,4.9185905,-6.794801e-05
eating disorders,5,4.626329,1.9402432
foreign bodies,0,5.681075,0.8753198
kidney failure,8,6.2084675,0.8451038
toddler development,8,4.476856,0.6656089
breathing problems,7,5.9562335,1.2872659
biodefense and bioterrorism,14,8.910818,4.533508
adrenal gland disorders,8,6.430904,1.1280028
antioxidants,10,5.5589185,6.8074155
body weight,14,8.831442,4.4958954
antibiotics,8,6.253978,0.9493429
steroids,10,4.91632,7.767704
hemorrhagic stroke,11,2.7930393,5.561172
tailbone disorders,9,3.1812582,6.3787327
mitral valve prolapse,12,2.5830317,2.1306198
motion sickness,9,6.003588,7.8519316
spinal stenosis,9,6.109543,7.543964
motor vehicle safety,3,5.580987,3.4969268
healthy aging,3,5.5008297,0.43830267
colonoscopy,8,6.131827,1.1040854
ovarian cysts,8,6.5933056,1.9938525
mercury,3,5.6494665,3.2971587
phobias,2,2.8532853,7.430961
diarrhea,10,4.859304,6.8964705
cochlear implants,15,5.257374,4.816769
nutrition for seniors,9,6.3699126,8.006841
infectious arthritis,7,2.9952796,2.557093
malnutrition,3,6.6072054,5.293071
food allergy,11,3.66253,2.5445476
tinnitus,13,-0.19483556,4.530923
b vitamins,3,7.118712,4.3444304
pain relievers,0,1.6177859,4.386045
leg injuries and disorders,17,1.1380588,3.6066802
uterine cancer,0,1.5405582,3.90254
hemorrhoids,12,1.1755382,3.6399553
wilson disease,13,1.7116776,5.860073
tick bites,6,3.03768,4.7973104
speech and language problems in children,17,-0.35965827,6.4844007
chiropractic,5,5.6753206,5.0143604
safety,11,1.3119341,6.865096
secondhand smoke,6,3.634209,4.5032988
diets,13,-0.036897086,5.152951
diabetic eye problems,11,1.2387494,6.8096037
"poison ivy, oak and sumac",1,1.4891037,2.8753052
animal bites,15,4.399686,4.1056156
mammography,10,4.3141146,4.7580357
health screening,8,6.246827,0.4362065
acoustic neuroma,17,1.112048,3.4422915
arm injuries and disorders,7,0.7928771,3.862627
vegetarian diet,12,1.417482,3.5948005
small intestine disorders,13,-0.37776658,3.9781985
asian american health,6,2.1446657,4.2927003
asthma,13,0.4829809,6.172343
sleep disorders,0,1.3561914,3.3969624
turner syndrome,13,-0.45814073,4.9107966
shock,0,1.5573826,2.9674323
artificial limbs,0,2.733468,3.9616568
diabetic diet,9,5.378585,7.6315303
pesticides,10,4.7363453,7.4521794
hidradenitis suppurativa,0,1.4862684,3.1475918
antidepressants,11,2.7320335,1.9507906
restless legs,15,5.0407515,4.782512
eosinophilic disorders,7,0.7923732,3.727995
wilms tumor,13,-0.537223,4.921607
hazardous waste,0,2.3761718,2.9442036
botox,2,2.8470442,7.985616
medication errors,8,6.6002884,1.232082
moles,0,2.7922306,2.7289877
swallowing disorders,5,4.611246,1.7094847
tonsils and adenoids,11,2.8177736,2.6992123
compulsive gambling,8,5.581301,1.2509327
coping with chronic illness,0,1.7170532,4.3852396
minerals,2,5.7226925,4.1401453
botulism,17,1.4375018,4.627921
hypoglycemia,10,4.9829636,6.7206798
stuttering,13,-0.076878786,4.555952
gun safety,5,-0.046258487,5.1621537
movement disorders,15,2.6157682,3.7774127
crohn's disease,11,5.4805593,1.6984702
bullying,9,5.879936,7.8366957
diabetes type 2,11,4.739926,4.3177557
hyperglycemia,9,5.561675,7.5569353
native hawaiian and pacific islander health,0,1.2526879,3.5446205
acupuncture,10,4.711201,7.634582
vitamin d,8,7.0251365,0.28189963
liver function tests,17,1.6355065,5.2512946
underage drinking,8,6.1133227,1.4676315
chiari malformation,11,4.434514,2.298224
prediabetes,11,4.936139,0.09384873
lymphedema,8,3.8915856,3.4206269
dietary fats,13,-0.03347044,4.751911
leukodystrophies,10,5.17695,6.937881
biopsy,3,5.744195,3.4990134
seasonal affective disorder,0,2.8938665,3.5128005
caregivers,12,5.4288316,1.2697169
intestinal cancer,9,3.866303,6.6381474
dystonia,10,4.773842,7.459911
macular degeneration,11,1.0671885,5.3278894
pacemakers and implantable defibrillators,6,0.61631244,5.5034246
male infertility,5,6.309358,3.2859113
medicare prescription drug coverage,17,-0.20553356,3.320646
household products,8,6.09798,1.4762734
floods,11,2.7353246,2.8261645
disabilities,1,4.678101,0.05323034
childhood brain tumors,15,3.79343,4.733925
esophagus disorders,12,2.8006194,1.6076529
pulmonary hypertension,13,-0.22366706,4.378366
men's health,6,0.5628787,5.562063
chickenpox,9,2.724181,5.5092864
hearing disorders and deafness,8,6.1159673,0.7241589
hospice care,0,1.5758415,3.7295291
eye wear,5,5.3014107,3.6181078
temporomandibular joint dysfunction,8,6.467935,1.0687587
indoor air pollution,8,4.9449186,0.083717205
polymyalgia rheumatica,3,3.823278,2.976467
understanding medical research,17,0.837285,3.7935061
alcoholism and alcohol abuse,6,2.0671718,4.2458167
nausea and vomiting,8,6.225045,1.0360466
pleural disorders,11,0.8593046,6.5824456
patient safety,16,0.7997279,3.900469
vitamin c,5,2.975598,5.669685
poisoning,11,0.50680333,6.3892794
constipation,17,-0.5107741,6.4074545
cholesterol,0,1.50349,2.6195667
hiv/aids in women,9,6.500027,8.238714
carpal tunnel syndrome,15,4.2429295,5.0697875
air pollution,11,6.504466,-0.22693543
"tetanus, diphtheria, and pertussis vaccines",13,-0.38697878,4.5703025
dementia,13,-0.2547196,3.972463
alcohol,17,-0.5655555,6.455752
polycystic ovary syndrome,17,-0.28658387,6.2607703
pancreas transplantation,2,3.070833,7.7806187
anxiety,13,0.6718302,5.265849
birth defects,7,1.5662438,1.3178316
spina bifida,3,3.7073627,3.031697
blood disorders,13,-0.35908452,4.4952292
nail diseases,6,0.61324745,5.554468
spinal cord diseases,10,6.547779,5.1290426
sepsis,2,2.9411874,7.6852207
sexual problems in men,1,5.1912436,-0.11365948
after surgery,12,4.9416523,7.3472233
fetal health and development,0,5.0461216,1.4837145
cerebral palsy,11,4.520443,2.5222094
progressive supranuclear palsy,16,6.425923,4.058562
water safety (recreational),13,-0.4997411,4.8471594
bronchial disorders,8,6.3380017,0.2625647
lymphoma,0,5.538937,5.0208282
pituitary disorders,12,2.977048,2.8601186
coronary artery bypass surgery,13,1.7634438,6.0050616
bipolar disorder,15,4.596216,4.4308567
parathyroid disorders,8,6.0787663,1.1058493
fractures,13,-0.023487736,4.589337
sciatica,10,2.2440188,5.0072455
urinalysis,6,0.56780994,5.5209017
helicobacter pylori infections,1,5.1432056,0.2522122
infectious diseases,0,2.6631422,3.2813382
women's health checkup,10,6.7502184,7.3074083
aphasia,13,-0.43397874,4.507639
paralysis,13,-0.5009283,4.902131
lewy body disease,0,2.3274934,2.9486802
angioplasty,15,5.357756,4.5911884
laboratory tests,11,1.2580043,6.881361
uterine diseases,5,4.130945,4.4023094
elder abuse,6,0.5517228,5.552807
teenage pregnancy,17,2.4970477,3.3263958
vascular diseases,2,3.524463,7.539264
blood clots,6,0.5550042,5.5529685
dentures,10,2.7195296,6.7498045
inhalation injuries,13,0.5127449,5.2936015
prader-willi syndrome,11,0.6431191,6.4120746
lice,8,6.402995,1.437412
indigestion,8,6.401426,1.3126489
diagnostic imaging,11,3.8337953,2.5268216
scleroderma,13,-0.21648191,4.948805
shoulder injuries and disorders,6,1.1132632,6.6261263
cardiac rehabilitation,0,2.9390783,3.0369036
giant cell arteritis,13,-0.49835005,4.8960166
blood thinners,8,6.2877135,1.014322
circumcision,0,2.5637968,3.3442867
infant and newborn care,13,0.24750441,4.829898
hay fever,11,0.6145334,6.4175034
kidney cancer,15,3.514345,4.322065
cervical cancer,13,-0.53618133,4.9575167
islet cell transplantation,13,0.4024776,6.0319653
hemochromatosis,8,4.8745174,0.13078642
viral infections,17,2.467252,3.3233423
laser eye surgery,2,3.804621,6.0793514
urine and urination,6,1.1243979,6.458373
klinefelter's syndrome,12,2.4208412,1.9529806
schizophrenia,10,1.7315844,5.161581
tooth decay,13,-0.53862953,4.9229736
premature ovarian failure,13,0.4842079,6.0486054
thalassemia,6,1.1478677,6.467868
breast reconstruction,13,-0.37088868,4.606034
joint disorders,11,1.3124466,6.8603334
bleeding,12,1.9341995,2.4897454
parenting,8,6.113289,1.1665648
traveler's health,13,0.067081004,4.5296354
bowel incontinence,11,0.77416617,6.557724
hysterectomy,6,3.3428464,4.9761896
staphylococcal infections,8,5.9237366,0.14453511
cancer chemotherapy,8,5.7620344,0.03727848
abscess,16,3.3251665,2.8068895
aspergillosis,8,5.674343,1.066354
breast diseases,8,6.7674894,0.3314945
rare diseases,6,0.54190177,5.4476156
rubella,8,6.358465,1.0465113
anaphylaxis,17,-0.2893172,3.2801876
connective tissue disorders,13,-0.45923987,4.9826684
down syndrome,6,0.51926535,5.5573053
immune system and disorders,2,2.727343,7.6601996
behcet's syndrome,11,6.3297853,1.5669279
hepatitis,0,2.6691668,2.1733868
marijuana,12,2.3353004,3.5997605
genetic testing,15,4.126516,4.128596
ureteral disorders,10,7.348499,7.7406354
diabetic heart disease,15,5.16377,4.9194703
porphyria,3,6.6397934,5.3034678
common cold,9,3.300179,5.81113
pancreatic diseases,15,5.4129844,4.346051
inhalants,10,1.9359053,6.025948
ehlers-danlos syndrome,10,5.0795836,7.335671
mrsa,8,5.566143,0.82235944
listeria infections,11,2.819266,2.323805
ankylosing spondylitis,0,1.2537813,3.7009442
hiv/aids,1,2.947528,0.61211085
limb loss,10,2.7124507,6.7711563
cervix disorders,11,2.998275,2.5571992
hair problems,6,2.1399543,4.2509656
breastfeeding,8,6.0190372,0.37314978
farm health and safety,0,2.658348,4.0088234
ovarian disorders,10,2.4797668,5.299866
clinical trials,11,4.6326056,7.521391
flu shot,10,4.9906683,7.247074
toxoplasmosis,17,2.4492517,3.2713323
tumors and pregnancy,11,2.8770847,2.0495846
kaposi's sarcoma,12,2.8209848,1.8313404
adhesions,12,2.522926,2.303472
bone marrow diseases,12,2.6828175,1.8499537
urethral disorders,11,2.8593936,2.2523732
high blood pressure in pregnancy,6,2.4370077,4.387345
patient rights,7,2.5092146,3.1129813
genes and gene therapy,17,2.417797,3.2370424
seniors' health,10,4.65498,7.4699454
a1c,7,2.4251733,3.266262
menopause,15,3.2966084,3.5444221
scabies,0,2.4276624,2.8108075
medicare,10,5.130676,7.082847
hormone replacement therapy,11,1.6208717,6.2239585
blood pressure medicines,10,5.1451273,6.2979245
ct scans,8,5.897276,1.3635521
talking with your doctor,13,-0.30232042,4.3576565
prostate cancer screening,15,5.40439,3.691826
mobility aids,10,4.6604037,7.510992
rett syndrome,9,3.922045,6.1027255
genital herpes,6,1.0893391,6.5790286
neurofibromatosis,15,2.1679225,6.016687
multiple myeloma,8,6.081174,0.02665504
child nutrition,8,6.486395,0.28158036
cardiomyopathy,11,5.063235,2.7091727
tuberous sclerosis,1,3.6371248,0.2371119
walking problems,6,0.568778,5.5856485
blood sugar,17,1.5291785,4.6360545
fetal alcohol spectrum disorders,0,3.3837726,4.192832
bone marrow transplantation,13,-0.28083462,4.4262996
diabetes medicines,12,2.8448575,1.9583358
hormones,8,6.508843,0.52613986
fistulas,9,6.5063686,8.056461
ear infections,17,-0.3820526,6.538724
pressure sores,0,2.7127345,3.4436097
mastectomy,8,6.6512055,1.0017216
advance directives,12,2.766966,2.0663598
fire safety,10,4.66295,7.3979187
chikungunya,15,4.202767,4.596467
testicular disorders,9,2.6661391,5.457223
neck injuries and disorders,8,6.8671336,0.3197339
over-the-counter medicines,9,5.9056687,7.8042293
hepatitis c,8,6.0143437,0.32641846
ovarian cancer,2,2.755751,7.6809688
pheochromocytoma,8,5.870775,1.1083956
sports safety,15,3.9043794,4.095436
phenylketonuria,9,5.132142,6.566289
cosmetic dentistry,15,5.3656535,4.2596498
health literacy,8,6.499483,-0.03982645
adrenal gland cancer,6,-0.14351526,6.689164
bone density,13,1.4024125,5.774301
radiation emergencies,8,6.300833,0.4605664
sports injuries,1,4.7136426,0.58372223
medicines,8,4.0059185,3.571142
childbirth,3,5.630374,3.437031
peritoneal disorders,3,3.7924812,3.2240717
arteriovenous malformations,3,5.507382,2.9264197
bone diseases,15,3.9436045,4.0916557
legionnaires' disease,10,4.811755,7.3457823
rabies,8,6.354132,1.0245703
dialysis,8,6.0851274,1.2661364
reproductive hazards,12,2.4836051,2.066158
coronary artery disease,0,3.0899055,5.593053
tongue disorders,8,4.83149,4.136685
child sexual abuse,6,1.9515038,4.133126
toddler health,10,6.178645,7.3588552
complex regional pain syndrome,15,3.6051464,4.112504
acute bronchitis,0,5.274616,1.9232818
pinkeye,5,4.6765575,3.1695414
dislocations,3,6.1851616,4.5532627
mental health,15,5.2393255,4.7970715
migraine,11,2.2142334,4.998845
blood,13,-0.1952022,4.8874745
bad breath,2,3.7149334,7.0938163
medical device safety,9,6.47821,8.12971
zika virus,0,3.1698158,2.9964902
sports fitness,10,4.996968,7.82865
bladder cancer,10,4.7481256,7.637579
cryptosporidiosis,8,5.980835,0.13192077
bedbugs,8,6.388725,0.93538177
hip replacement,10,5.993705,7.6393976
dengue,8,6.02229,1.3895347
peripheral nerve disorders,8,5.757458,0.75941795
fibromyalgia,9,5.7498426,7.608212
guillain-barre syndrome,10,5.151387,7.0781293
corns and calluses,0,2.3413956,2.9601042
fragile x syndrome,7,1.5575356,4.485139
vaginal bleeding,15,5.0879087,4.497935
foot injuries and disorders,10,4.016323,5.6798224
pelvic inflammatory disease,0,3.4863133,3.5516388
children's health,10,4.9826593,6.762709
herpes simplex,3,5.9722457,3.9416459
cartilage disorders,8,5.790393,1.1212088
lymphatic diseases,8,7.159162,4.2842474
irritable bowel syndrome,8,6.6311903,0.6025111
smallpox,5,-1.6809485,0.5780117
spine injuries and disorders,4,6.3301263,3.6793687
ebola,12,2.692435,1.9054396
mental disorders,8,6.599655,0.30265668
chagas disease,8,5.80039,1.216384
gerd,17,4.6957984,0.37119904
quitting smoking,3,3.8113506,3.07409
prenatal testing,9,6.487029,7.9666996
voice disorders,8,5.806751,1.0375953
benign tumors,8,6.450693,0.80412996
rosacea,14,8.921068,4.464983
eye infections,9,5.9927526,8.255023
myasthenia gravis,8,6.188873,-0.26940525
school health,3,4.1463623,3.3762562
enlarged prostate (bph),3,5.8362045,3.960025
stomach disorders,9,6.4211254,8.005215
itching,5,4.0362835,5.9267464
healthy living,9,5.8585567,7.8187466
mesothelioma,3,5.5963597,3.030141
bile duct diseases,8,6.3422184,0.77752274
fluid and electrolyte balance,13,1.4540704,5.9737177
